CUST_NO  XCOORD    YCOORD    DEMAND   READY_TIME  DUE_DATE   SERVICE_TIME
    0      40         50          0          0       1236          0
    1      30         52         20        914        965         90
    2      28         52         20        812        883         90
    3      28         55         10        732        777         90
    4      25         50         10         65        144         90
    5      25         52         40        169        224         90
    6      25         55         10        622        701         90
    7      23         52         10        261        316         90
    8      23         55         20        546        593         90
    9      20         50         10        358        405         90
   10      20         55         10        449        504         90
